#i,c,d,t,n,alpha,beta,gamma,eps,a,b,B,C,D,A
37,2,9,3,0.38615085574206e-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,2,9,4,-0.20393486513704e-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,2,9,8,-0.16554050063734e-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,2,10,6,0.19955571979541e-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41,2,10,9,0.15870308324157e-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42,2,12,8,-0.16388568342530e-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43,3,3,16,0.43613615723811e-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44,3,4,22,0.34994005463765e-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,3,4,23,-0.76788197844621e-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46,3,5,23,0.22446277332006e-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47,4,14,10,-0.62689710414685e-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48,6,3,50,-0.55711118565645e-9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49,6,6,44,-0.19905718354408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,6,6,46,0.31777497330738,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,6,6,50,-0.11841182425981,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,NaN,3,0,-0.31306260323435e2,20,150,1.21,1,NaN,NaN,NaN,NaN,NaN,NaN
53,NaN,3,1,0.31546140237781e2,20,150,1.21,1,NaN,NaN,NaN,NaN,NaN,NaN
54,NaN,3,4,-0.25213154341695e4,20,250,1.25,1,NaN,NaN,NaN,NaN,NaN,NaN
55,NaN,NaN,NaN,-0.14874640856724,NaN,0.3,NaN,NaN,3.5,0.85,0.2,28,700,0.32
56,NaN,NaN,NaN,0.31806110878444,NaN,0.3,NaN,NaN,3.5,0.95,0.2,32,800,0.32
